"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","audio_data","has_mic"
1033.29499997199,NA,"image-audio-response",41,141137,"0.0-4.37-0.37","img/test_image_white.png",NA,"11_37.webm",TRUE
1068.71500005946,NA,"image-audio-response",42,143157,"0.0-4.38-0.38","img/test_image_white.png",NA,"11_38.webm",TRUE
1084.67999985442,NA,"image-audio-response",43,144947,"0.0-4.39-0.39","img/test_image_white.png",NA,"11_39.webm",TRUE
1036.67999990284,NA,"image-audio-response",44,146513,"0.0-4.40-0.40","img/test_image_white.png",NA,"11_40.webm",TRUE
1062.08499986678,NA,"image-audio-response",45,148229,"0.0-4.41-0.41","img/test_image_white.png",NA,"11_41.webm",TRUE
1077.6949999854,NA,"image-audio-response",46,150168,"0.0-4.42-0.42","img/test_image_white.png",NA,"11_42.webm",TRUE
1054.49000000954,NA,"image-audio-response",47,152064,"0.0-4.43-0.43","img/test_image_white.png",NA,"11_43.webm",TRUE
1080.54500003345,NA,"image-audio-response",48,153903,"0.0-4.44-0.44","img/test_image_white.png",NA,"11_44.webm",TRUE
1127.5349999778,NA,"image-audio-response",49,155881,"0.0-4.45-0.45","img/test_image_white.png",NA,"11_45.webm",TRUE
1048.55000018142,NA,"image-audio-response",50,157669,"0.0-4.46-0.46","img/test_image_white.png",NA,"11_46.webm",TRUE
1089.45999993011,NA,"image-audio-response",51,159504,"0.0-4.47-0.47","img/test_image_white.png",NA,"11_47.webm",TRUE
1104.15999987163,NA,"image-audio-response",52,161573,"0.0-4.48-0.48","img/test_image_white.png",NA,"11_48.webm",TRUE
1041.17499990389,NA,"image-audio-response",53,163151,"0.0-4.49-0.49","img/test_image_white.png",NA,"11_49.webm",TRUE
1028.29000004567,NA,"image-audio-response",54,164900,"0.0-4.50-0.50","img/test_image_white.png",NA,"11_50.webm",TRUE
1067.3849999439,NA,"image-audio-response",55,166824,"0.0-4.51-0.51","img/test_image_white.png",NA,"11_51.webm",TRUE
